Trait,LS_means_Females,LS_means_Males,Standard_error_Females,Variance_Females,Standard_error_Males,Variance_Males,Diff_MF_LS,Diff_MF_Varr,DeltaBIC Sexual Dimorphism,DeltaBIC Family,DeltaBIC Family:Sex,Female_Family_SS,Female_Family_Variance,Female_Residual_SS,Female_Residual_Variance,Male_Family_SS,Male_Family_Variance,Male_Residual_SS,Male_Residual_Variance,%var among fam female,%var among fam male,Delta Sex chromo
m49.99,-10.2,-11.6,0.187,0.034969,0.196,0.038416,1.4,-0.003447,21.60201,-204.1237,-200.9123,238.4,5.544186047,783.7,7.535576923,100.9,2.346511628,246.7,2.596842105,0.423875116,0.474680097,-0.050804981
m55.03,-6.2,-7.14,0.186,0.034596,0.194,0.037636,0.94,-0.00304,8.479373,-197.2433,-191.8124,138.2,3.213953488,309.4,2.975,258.6,6.013953488,669.7,7.049473684,0.519304838,0.460365677,0.058939161
m57.02,-7.34,-8.72,0.223,0.049729,0.233,0.054289,1.38,-0.00456,15.40539,-203.4896,-183.8582,281.9,6.555813953,605.3,5.820192308,286.2,6.655813953,767.8,8.082105263,0.52971967,0.45161151,0.07810816
m57.05,-5.85,-6.19,0.0854,0.00729316,0.0892,0.00795664,0.34,-0.00066348,3.139469,-208.6835,-204.1681,25.4,0.590697674,87.19,0.838365385,38.15,0.887209302,129.32,1.361263158,0.413346123,0.394583131,0.018762992
m59.04,-4.61,-4.97,0.194,0.037636,0.203,0.041209,0.36,-0.003573,-3.7085,-213.7586,-193.1262,166.9,3.881395349,455.7,4.381730769,178.4,4.148837209,620.8,6.534736842,0.46972481,0.388337947,0.081386864
m61.02,-8.36,-9.6,0.268,0.071824,0.28,0.0784,1.24,-0.006576,6.155872,-207.6442,-181.9424,387.8,9.018604651,1075,10.33653846,407.8,9.48372093,900.4,9.477894737,0.465953912,0.500153631,-0.034199719
m62.02,-7.52,-7.99,0.182,0.033124,0.19,0.0361,0.47,-0.002976,-1.970693,-191.8371,-193.0987,222.6,5.176744186,422.2,4.059615385,179.3,4.169767442,521.9,5.493684211,0.560474519,0.431498764,0.128975755
m63.02,-6.16,-6.24,0.163,0.026569,0.17,0.0289,0.08,-0.002331,-5.503478,-169.6454,-206.9287,208.1,4.839534884,450.1,4.327884615,163.9,3.811627907,345.2,3.633684211,0.527905905,0.511950049,0.015955855
m69.00,-10.1,-10.7,0.19,0.0361,0.199,0.039601,0.6,-0.003501,-0.7265148,-186.5876,-182.7911,283.7,6.597674419,571.3,5.493269231,221.4,5.148837209,429,4.515789474,0.545670761,0.53275076,0.012920001
m69.06,-4.96,-5.38,0.0613,0.00375769,0.064,0.004096,0.42,-0.00033831,19.40519,-205.6348,-205.0175,12.26,0.285116279,20.4,0.196153846,21.7,0.504651163,91.49,0.963052632,0.592424637,0.3438372,0.248587437
m71.03,-6.48,-7.17,0.158,0.024964,0.165,0.027225,0.69,-0.002261,4.945646,-173.7804,-195.5974,169.1,3.93255814,296.2,2.848076923,194.3,4.518604651,423.2,4.454736842,0.579969,0.503558753,0.076410248
m73.03,-5.36,-5.96,0.157,0.024649,0.164,0.026896,0.6,-0.002247,2.594587,-205.2884,-179.231,86.95,2.022093023,226.8,2.180769231,199,4.627906977,441.7,4.649473684,0.48112284,0.498837673,-0.017714833
m75.04,-5.8,-6.07,0.113,0.012769,0.118,0.013924,0.27,-0.001155,-2.500239,-191.9505,-180.2412,85.67,1.992325581,138.39,1.330673077,85.72,1.993488372,211.12,2.222315789,0.599556541,0.472860763,0.126695778
m77.05,-7.05,-7.28,0.124,0.015376,0.13,0.0169,0.23,-0.001524,-3.774221,-183.5358,-198.3734,96.84,2.252093023,212.66,2.044807692,101.5,2.360465116,237.4,2.498947368,0.524120331,0.485751132,0.038369198
