Sample,Sex,Family,Plate,Initial area (mm^2),Initial perimeter (mm),Initial Circularity,1 week area (mm^2),1 week perimeter (mm),Week_1_Circularity,Week_2_area,Week_2_ perimeter ,Week_2_Circularity,Week_3_area,Week_3_perimeter,Week_3_Circularity,7 days,8 days,9 days,10 days,11 days,12 days,13 days,14 days,15 days,16 days,17 days,18 days,19 days,20 days,21 days,Days_until_gametophores,Total_Gametophores
P_1_5_4,m,2,11A,0.011356043,0.405529024,0.867306883,0.05825062,1.029932064,0.689720344,0.386897227,2.893926145,0.580243614,0.897665812,4.111723952,0.666893409,0,0,,,0,0,0,0,0,0,0,0,0,0,0,100,0
P_1_5_4,m,2,11B,0.015441504,0.473868299,0.863702015,0.061689104,1.098204076,0.642439146,0.368546585,2.736396045,0.618193057,0.82997746,4.203336248,0.590021275,0,0,,,0,0,0,0,0,0,0,0,0,0,0,100,0
P_1_5_4,m,2,11C,0.011600357,0.399139033,0.914560787,0.047437495,0.927288626,0.692917494,0.358796676,2.693683998,0.621076014,0.870940654,4.003094101,0.682631939,0,0,,,0,0,0,0,0,0,0,0,0,0,0,100,0
P_1_5_5,m,2,16A,0.025109976,0.691262528,0.660009079,0.055065499,1.13580413,0.536120399,0.273789227,2.475079034,0.561342406,0.720801094,4.073316742,0.545643156,0,0,0,0,0,0,0,0,0,0,0,,,0,0,100,0
P_1_5_5,m,2,16B,0.027050909,0.695163786,0.703067837,0.073293984,1.189614583,0.650497172,0.292845662,2.329858075,0.677593923,0.805152516,4.556467344,0.487092306,0,0,0,0,0,0,0,0,0,0,0,,,0,0,100,0
P_1_5_5,m,2,16C,0.027277125,0.66476088,0.775277772,0.074352675,1.236564203,0.610735127,0.347277757,2.973565615,0.493300499,0.910442492,4.344723212,0.605784183,0,0,0,0,0,0,0,0,0,0,0,,,0,0,100,0
P_1_5_6,f,2,3B,0.024698263,0.600524652,0.860189963,0.048247349,0.717293334,1.177794449,0.42813188,5.877312168,0.155671708,0.852725742,5.817178987,0.316500324,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,100,0
P_1_5_6,f,2,3C,0.014477824,0.476289769,0.801586564,0.034013838,0.945718706,0.477662689,0.411183777,4.805946055,0.223597955,0.914935142,8.105872066,0.174896234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0
P_1_5_6,f,2,3A,0.021463374,1.589628035,0.106683341,0.031575229,2.384408421,0.069754923,0.21571053,6.021658707,0.074718598,0.979316216,7.423690052,0.22318907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
P_1_5_9,m,2,15C,0.0166314,0.498553844,0.840416017,0.045387979,0.952848591,0.62788873,0.269495647,2.927893993,0.394848685,0.678928512,3.944844286,0.547966435,1,1,1,1,1,0,0,0,0,0,0,0,0,1,2,7,0
P_1_5_9,m,2,15B,0.018626626,0.541265891,0.798550717,0.046808615,0.761485169,1.013893953,0.136281568,2.060671285,0.403096773,0.470669537,3.000672631,0.656551043,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,100,0
P_1_5_9,m,2,15A,0.012437356,0.423690052,0.870204175,0.011573211,0.422075738,0.815948445,0.065525727,1.745678348,0.270067943,0.425824477,2.792964283,0.685629502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
P_1_6_13,m,3,18B,0.010636676,0.385888209,0.897165508,0.037434224,0.841393691,0.664140509,0.402994758,4.360933611,0.266152216,0.97948814,7.318490617,0.229691953,0,0,0,0,,,1,5,7,13,17,20+,,,,13,18
P_1_6_13,m,3,18C,0.009835872,0.369274232,0.905950544,0.030778949,0.840317482,0.547465342,0.297894804,3.747763503,0.266384047,0.88380782,6.874756171,0.234872884,0,0,0,0,,,1,2,3,3,4,5,5,5,11,100,0
P_1_6_13,m,3,18A,0.011007671,0.395372301,0.884448572,0.03938873,0.993879061,0.500834846,1.071417799,6.249411448,0.344564284,0.737305813,5.620636309,0.293134091,0,0,0,0,,,3,4,5,6,6,6,6,8,10,100,0
P_1_6_14,m,3,13A,0.024625874,0.643102173,0.747861777,0.042691484,1.490482276,0.241366647,0.164906941,2.333759333,0.380291343,0.370320119,3.718436806,0.336392369,0,0,0,0,0,0,0,0,0,,0,0,0,1,7,100,0
P_1_6_14,m,3,13C,0.024607777,0.606376539,0.840576484,0.035298745,0.727988162,0.836566113,0.16374419,2.626959037,0.298022421,0.337686198,4.616331472,0.199025617,0,0,0,0,0,0,0,0,0,,0,1,3,3,5,100,0
